mobility, cabriolet,, cab,10, en,1
mobility, riding downtown,, bus,10, en,1
dwelling, house,, huis,10, en,1
leisure, film,, holiday,10, en,1
dwelling, lot of work,, garden,10, en,1
mobility, streetcar,, tram,10, en,1
leisure, cassettes,, music,10, en,1
food, better snack than candy,, fruit,10, en,1
dwelling, providing shelter,, house,10, en,1
dwelling, permanent shelter,, house,10, en,1
mobility, san francisco,, uber,10, en,1
food, structural element in sandwich,, bread,10, en,1
leisure, celebrating positive event,, party,10, en,1
mobility, port,, ship,10, en,1
food, buttering,, bread,10, en,1
food, cheesburgers,, potato,10, en,1
mobility, doos,, bus,10, nl,1
dwelling, quality,, bad,10, en,1
dwelling, roof,, house,10, en,1
leisure, melody,, music,10, en,1
leisure, celebrating fathers birthday,, party,10, en,1
leisure, visit friend,, travel,10, en,1
mobility, form of transportation,, bus,10, en,1
leisure, playfulness,, fun,10, en,1
food, house,, food,10, en,1
mobility, pesawat bersayap tetap,, airplane,10, ms,1
leisure, cyclical and rolling describes cycle,, music,10, en,1
dwelling, substandard,, bad,10, en,1
leisure, clock,, watch,10, en,1
food, sit down,, brood,10, en,1
mobility, trem,, tram,10, ms,1
food, bin of toys,, potato,10, en,1
dwelling, rest,, sleep,10, en,1
mobility, company,, uber,10, en,1
mobility, fly between cities,, plane,10, en,1
food, rise until doubles in volume,, bread,10, en,1
dwelling, raising family,, house,10, en,1
leisure, hammered,, drunk,10, en,1
leisure, stroke,, travel,10, en,1
food, not,, food,10, en,1
food, good source of vitamins,, fruit,10, en,1
dwelling, rumah,, house,10, ms,1
food, solid,, food,10, en,1
food, produce market,, potato,10, en,1
food, making pie,, fruit,10, en,1
leisure, hobby,, music,10, en,1
dwelling, accommodate,, house,10, en,1
leisure, mabuk,, drunk,10, ms,1
dwelling, where lives,, home,10, en,1
dwelling, outdoor location,, garden,10, en,1
leisure, zat,, dronken,10, nl,1
food, gay man,, fruit,10, en,1
dwelling, badass,, bad,10, en,1
leisure, event,, event,10, nl,1
leisure, group of people,, party,10, en,1
dwelling, washing dishes,, kitchen,10, en,1
mobility, sailing,, ship,10, en,1
food, patat,, potato,10, nl,1
dwelling, non agentive artifact,, garden,10, en,1
mobility, go somewhere,, car,10, en,1
food, cultivated rice,, rice,10, en,1
food, eat,, food,10, en,1
food, prevent cancer,, fruit,10, en,1
food, many colors,, fruit,10, en,1
dwelling, harbour,, house,10, en,1
food, montana,, milk,10, en,1
leisure, party on,, party,10, en,1
leisure, emotional response,, music,10, en,1
dwelling, stoing things,, house,10, en,1
dwelling, where people live,, home,10, en,1
food, refrigerator,, food,10, en,1
mobility, auto,, auto,10, en,1
food, bag of potatoes,, potato,10, en,1
food, ususally,, meat,10, en,1
leisure, art form dealing with sound,, music,10, en,1
dwelling, comfortable place to live,, home,10, en,1
mobility, head down road,, car,10, en,1
dwelling, cost lot of money,, house,10, en,1
leisure, sporting event,, sport,10, en,1
dwelling, different word for home,, house,10, en,1
dwelling, stove,, kitchen,10, en,1
mobility, arrive at airport,, airplane,10, en,1
food, traditionally,, rice,10, en,1
dwelling, tv show,, house,10, en,1
mobility, drive on road,, car,10, en,1
food, disneyland,, food,10, en,1
mobility, jump tracks,, train,10, en,1
leisure, recreational activity,, sport,10, en,1
food, portable object,, fruit,10, en,1
food, victuals,, food,10, en,1
leisure, not worth listening to,, music,10, en,1
leisure, carnival,, games,10, en,1
leisure, relaxing,, party,10, en,1
mobility, carry few persons,, car,10, en,1
dwelling, decoration,, garden,10, en,1
leisure, more precise rules than others,, games,10, en,1
food, food,, meat,10, en,1
mobility, vlakte,, vlak,10, nl,1
leisure, stressed,, relax,10, en,1
food, incubate,, brood,10, en,1
mobility, form of transportation,, car,10, en,1
mobility, list to starboard,, ship,10, en,1
mobility, nave,, schip,10, en,1
leisure, telling what day,, watch,10, en,1
mobility, reach destination,, airplane,10, en,1
mobility, seats usually 4 of,, car,10, en,1
dwelling, doors,, house,10, en,1
mobility, form of mass transit,, bus,10, en,1
food, freezer,, meat,10, en,1
leisure, one type of situation,, fun,10, en,1
mobility, hit cliff,, car,10, en,1
food, sack of potatos,, potato,10, en,1
food, yeast,, bread,10, en,1
leisure, spend,, vacation,10, en,1
food, make meal,, meat,10, en,1
mobility, land airport,, plane,10, en,1
leisure, music,, music,10, nl,1
food, different colors,, fruit,10, en,1
mobility, transporation,, bus,10, en,1
dwelling, eating in,, kitchen,10, en,1
mobility, fair storm,, ship,10, en,1
dwelling, accommodate,, sleep,10, en,1
food, grocery section of shop,, potato,10, en,1
food, kat,, eten,10, nl,1
food, freezer,, food,10, en,1
mobility, arrive late,, plane,10, en,1
mobility, shunt from one track to another,, train,10, en,1
food, maryland,, potato,10, en,1
leisure, inflict,, visit,10, en,1
mobility, stall,, car,10, en,1
mobility, kereta,, car,10, ms,1
dwelling, consist of lawn and flowers,, garden,10, en,1
mobility, ship,, ship,10, nl,1
leisure, napster,, music,10, en,1
mobility, taximeter,, taxi,10, en,1
leisure, picking up women,, party,10, en,1
leisure, chant,, singsong,10, en,1
dwelling, wonder place to relax,, garden,10, en,1
leisure, determine,, watch,10, en,1
mobility, learn,, train,10, en,1
mobility, stolen every four minutes in australia,, car,10, en,1
mobility, exercise,, train,10, en,1
leisure, check,, watch,10, en,1
food, rise in oven,, bread,10, en,1
mobility, hit pedestrian,, car,10, en,1
mobility, autobus,, bus,10, nl,1
dwelling, subdivision,, house,10, en,1
leisure, toy store,, games,10, en,1
mobility, more wheels than engines,, car,10, en,1
food, pabulum,, food,10, en,1
dwelling, potato,, potato,10, en,1
dwelling, street,, house,10, en,1
leisure, control populace,, music,10, en,1
mobility, voyage,, ship,10, en,1
food, hond,, eten,10, nl,1
mobility, scrapyard,, car,10, en,1
leisure, enlightenment,, music,10, en,1
leisure, describe gathering of family members,, reunion,10, en,1
dwelling, structure,, house,10, en,1
food, produce sections,, fruit,10, en,1
mobility, go across sea,, ship,10, en,1
food, melk,, milk,10, nl,1
food, rations,, food,10, en,1
food, fridge,, meat,10, en,1
mobility, bottom of ocean,, ship,10, en,1
mobility, arrive at airport,, plane,10, en,1
food, produce department of grocery,, potato,10, en,1
leisure, watching,, sport,10, en,1
food, mensen,, eten,10, nl,1
dwelling, defective,, bad,10, en,1
mobility, place occupied by humans,, car,10, en,1
food, leer,, eten,10, nl,1
food, herb,, vegetable,10, en,1
food, red,, potato,10, en,1
leisure, make person happy,, music,10, en,1
leisure, horseplay,, fun,10, en,1
food, making into juice drink,, fruit,10, en,1
dwelling, basements,, home,10, en,1
leisure, zat,, drunk,10, nl,1
leisure, hands,, watch,10, en,1
leisure, teach,, games,10, en,1
dwelling, vaak,, slaap,10, nl,1
food, plate,, potato,10, en,1
mobility, relationship,, ship,10, en,1
mobility, set off,, car,10, en,1
food, getting protein in diet,, meat,10, en,1
food, breedte,, bread,10, nl,1
dwelling, youare tired,, sleep,10, en,1
dwelling, cook meal,, kitchen,10, en,1
leisure, destress,, relax,10, en,1
mobility, power tool,, plane,10, en,1
mobility, going fast,, car,10, en,1
food, liquid body substance,, milk,10, en,1
food, fast food restaurant,, potato,10, en,1
food, protein,, meat,10, en,1
mobility, suffer damage,, car,10, en,1
food, aardappel,, potato,10, nl,1
leisure, department store,, watch,10, en,1
mobility, blik,, bus,10, nl,1
mobility, go into town,, bus,10, en,1
mobility, tool,, car,10, en,1
mobility, taksi,, taxi,10, ms,1
mobility, seats,, bus,10, en,1
mobility, wheels,, airplane,10, en,1
food, solution from female cow,, milk,10, en,1
food, muscle,, meat,10, en,1
leisure, looking and listening,, music,10, en,1
mobility, arrive late after rainstorm,, plane,10, en,1
mobility, plataan,, plane,10, nl,1
leisure, form of recreation,, music,10, en,1
leisure, reunite,, reunion,10, en,1
food, producing juice,, fruit,10, en,1
dwelling, washing,, bath,10, en,1
mobility, crash if goes wrong,, airplane,10, en,1
dwelling, brush teeth,, bathroom,10, en,1
mobility, go downtown,, car,10, en,1
dwelling, house with people in,, home,10, en,1
mobility, at least one engine,, car,10, en,1
dwelling, three stories tall,, house,10, en,1
mobility, film,, airplane,10, en,1
dwelling, primping,, bathroom,10, en,1
mobility, automobiel,, car,10, nl,1
food, wedding,, food,10, en,1
leisure, carnival,, music,10, en,1
food, commonly,, meat,10, en,1
dwelling, garden,, garden,10, en,1
food, oven,, bread,10, en,1
mobility, enter garage,, car,10, en,1
food, vegetable soup,, potato,10, en,1
dwelling, newspaper,, house,10, en,1
mobility, land on runway,, plane,10, en,1
dwelling, severe,, bad,10, en,1
food, gay bar,, fruit,10, en,1
food, fattening,, food,10, en,1
dwelling, new york,, garden,10, en,1
mobility, car,, car,10, nl,1
leisure, intangible artifact,, music,10, en,1
food, mixture of many substances,, milk,10, en,1
food, backpack,, food,10, en,1
dwelling, faulty,, bad,10, en,1
dwelling, badkamer,, badkamer,10, nl,1
mobility, vehicle,, plane,10, en,1
food, become moldy,, food,10, en,1
food, fuel for people,, food,10, en,1
food, feed baby,, milk,10, en,1
mobility, drive around town,, car,10, en,1
mobility, getting from one place to another,, car,10, en,1
leisure, jewlery store,, watch,10, en,1
dwelling, waste bin,, kitchen,10, en,1
leisure, sound information bearing thing,, music,10, en,1
food, sink,, potato,10, en,1
mobility, travel,, tram,10, en,1
dwelling, physical contact location,, home,10, en,1
mobility, pull car,, car,10, en,1
leisure, festiviteit,, feest,10, nl,1
food, rijst,, rijst,10, en,1
leisure, sing,, singsong,10, en,1
dwelling, protection for environment,, house,10, en,1
leisure, language,, music,10, en,1
mobility, headlights to increase visibility,, car,10, en,1
leisure, event,, reunion,10, en,1
food, groen,, groente,10, nl,1
dwelling, excavation of bladder and bowels,, bathroom,10, en,1
mobility, transport,, bus,10, en,1
mobility, heat up,, car,10, en,1
dwelling, working very hard makes tires,, sleep,10, en,1
food, fruit cocktail,, fruit,10, en,1
food," ""neighbors house""",, food,10, en,1
dwelling, small building,, house,10, en,1
food, energy,, milk,10, en,1
leisure, affair,, party,10, en,1
mobility, transport many people at once,, bus,10, en,1
leisure, usually on wrist,, watch,10, en,1
food, paper bag,, potato,10, en,1
mobility, imitating birds,, airplane,10, en,1
food, prettier than vegetables,, fruit,10, en,1
dwelling, hotel,, bathroom,10, en,1
mobility, form of transportation,, airplane,10, en,1
food, bread,, food,10, en,1
leisure, require passport,, travel,10, en,1
food, help sleep,, milk,10, en,1
dwelling, growing vegetables,, garden,10, en,1
mobility, roof,, car,10, en,1
dwelling, pets,, house,10, en,1
dwelling, fill,, bath,10, en,1
leisure, piss artist,, drunk,10, en,1
leisure, travel,, travel,10, en,1
mobility, tail car,, taxi,10, en,1
food, beef stew,, potato,10, en,1
dwelling, liquid unit,, bath,10, en,1
mobility, travel,, taxi,10, en,1
mobility, air,, plane,10, en,1
leisure, effect on people,, music,10, en,1
leisure, party,, reunion,10, en,1
dwelling, considered shelter,, house,10, en,1
leisure, form of personal expression,, music,10, en,1
leisure, recreation,, games,10, en,1
mobility, land in field,, airplane,10, en,1
leisure, vertier,, pret,10, nl,1
food, carton,, milk,10, en,1
mobility, vervoermiddel,, tram,10, nl,1
mobility, mass transit for city,, bus,10, en,1
leisure, holy day,, holiday,10, en,1
food, seeds,, fruit,10, en,1
mobility, people mover,, car,10, en,1
leisure, ritualized aggression,, games,10, en,1
leisure, pleasing to hear and play,, music,10, en,1
dwelling, website,, home,10, en,1
mobility, auto,, car,10, nl,1
leisure, cause to desire to dance,, music,10, en,1
leisure, timepiece,, watch,10, en,1
mobility, move quickly,, car,10, en,1
mobility, rust,, car,10, en,1
leisure, visit parents,, travel,10, en,1
mobility, weather storm,, ship,10, en,1
mobility, consequence,, train,10, en,1
food, market,, potato,10, en,1
food, come from mammals,, milk,10, en,1
leisure, lookout,, watch,10, en,1
dwelling, tuin,, garden,10, nl,1
mobility, wheels,, car,10, en,1
food, esential for human life,, food,10, en,1
dwelling, real estate,, house,10, en,1
dwelling, basement,, house,10, en,1
leisure, soothing nerves,, music,10, en,1
food, spud,, potato,10, en,1
mobility, mass transportaion,, bus,10, en,1
leisure, art form,, music,10, en,1
food, cooking,, fruit,10, en,1
mobility, both transportation and status symbol,, car,10, en,1
dwelling, room,, bathroom,10, en,1
leisure, sound terrible,, music,10, en,1
dwelling, resturant,, kitchen,10, en,1
leisure, mechanical means of measuring time,, watch,10, en,1
food, natural source of vitamins,, fruit,10, en,1
mobility, train,, train,10, en,1
dwelling, negative,, bad,10, en,1
food, vaas,, eten,10, nl,1
food, dirt,, potato,10, en,1
mobility, gas station,, car,10, en,1
mobility, fit in garage,, car,10, en,1
dwelling, make think more clearly,, sleep,10, en,1
leisure, make people feel many emotions,, music,10, en,1
leisure, constantly evolving art form,, music,10, en,1
leisure, keeping track of time,, watch,10, en,1
food, comestible,, food,10, en,1
dwelling, ceiling under roof,, house,10, en,1
leisure, evoke emotion,, music,10, en,1
dwelling, housing family,, home,10, en,1
dwelling, bilik mandi,, bathroom,10, ms,1
food, dough,, bread,10, en,1
dwelling, where hang hat,, home,10, en,1
mobility, carrying groceries,, car,10, en,1
food, sit on,, brood,10, en,1
leisure, bring flashbacks,, music,10, en,1
dwelling, false,, bad,10, en,1
leisure, change state,, relax,10, en,1
leisure, move,, singsong,10, en,1
food, substance,, food,10, en,1
dwelling, large porch,, house,10, en,1
dwelling, at hotel,, bathroom,10, en,1
mobility, pass bicycle,, car,10, en,1
food, peru,, potato,10, en,1
dwelling, thing,, house,10, en,1
dwelling, outdoors,, garden,10, en,1
mobility, course before wind,, ship,10, en,1
dwelling, shelter intended for humans,, home,10, en,1
food, taste salty,, food,10, en,1
food, buah,, fruit,10, ms,1
food, san francisco,, fruit,10, en,1
food, refrigerator,, rice,10, en,1
food, susu,, milk,10, ms,1
food, yield,, fruit,10, en,1
leisure, ontspanning,, recreation,10, nl,1
dwelling," ""friends house""",, bathroom,10, en,1
food, outside,, potato,10, en,1
food, plastic bag,, bread,10, en,1
dwelling, grow food for entire family,, garden,10, en,1
food, consumption,, fruit,10, en,1
food, sweet and sometimes sour,, fruit,10, en,1
mobility, fly,, plane,10, en,1
mobility, near terminal,, bus,10, en,1
leisure, traveller,, travel,10, en,1
food, food,, bread,10, en,1
dwelling, residency,, house,10, en,1
leisure, music festival,, music,10, en,1
leisure, muzik,, music,10, ms,1
mobility, interstate,, car,10, en,1
food, pot on stove,, potato,10, en,1
dwelling, keeping personal belongings,, house,10, en,1
food, army,, potato,10, en,1
mobility, vliegtuig,, airplane,10, nl,1
food, shop,, food,10, en,1
leisure, singing,, singalong,10, en,1
dwelling, washroom,, bathroom,10, en,1
leisure, singalong,, singsong,10, en,1
leisure, throw up,, drunk,10, en,1
food, pasta,, rice,10, en,1
food, bread store,, bread,10, en,1
food, rice,, rice,10, nl,1
mobility, move many things efficiently,, train,10, en,1
dwelling, place,, kitchen,10, en,1
food, brown in pan,, meat,10, en,1
food, restaurant,, potato,10, en,1
mobility, airship,, car,10, en,1
food, relatives house,, food,10, en,1
food, school,, food,10, en,1
food, vitamins,, fruit,10, en,1
mobility, moving children to school,, bus,10, en,1
food, calcium,, milk,10, en,1
food, patch,, potato,10, en,1
mobility, tramway,, tram,10, en,1
dwelling, crusty,, sleep,10, en,1
dwelling, dwelling,, kitchen,10, en,1
dwelling, heem,, home,10, nl,1
mobility, automobile passenger compartment,, cab,10, en,1
mobility, highway,, car,10, en,1
food, fodder,, food,10, en,1
dwelling, growing flowers,, garden,10, en,1
dwelling, address,, residence,10, en,1
mobility, move person,, car,10, en,1
food, sift,, rice,10, en,1
mobility, travel faster than car,, airplane,10, en,1
leisure, people who know how to,, party,10, en,1
mobility, ship,, ship,10, en,1
leisure, life,, fun,10, en,1
dwelling, cooking breakfast,, kitchen,10, en,1
mobility, school,, bus,10, en,1
mobility, motor vehicle,, cab,10, en,1
food, butcher shop,, meat,10, en,1
leisure, quiet savage beast,, music,10, en,1
leisure, occurrence,, event,10, en,1
mobility, hood,, ship,10, en,1
mobility, going from oneplace to another,, airplane,10, en,1
food, apartment,, potato,10, en,1
food, grow moldy,, food,10, en,1
food, pieper,, potato,10, nl,1
leisure, make babbies happy,, music,10, en,1
food, boiling water,, potato,10, en,1
dwelling, take bath,, bathroom,10, en,1
leisure, feest,, party,10, nl,1
dwelling, place to clean up yourself,, bathroom,10, en,1
leisure, cheesecake for brain,, music,10, en,1
dwelling, abode,, home,10, en,1
leisure, listen to radio,, fun,10, en,1
mobility, windows,, bus,10, en,1
leisure, face,, watch,10, en,1
food, daging,, meat,10, ms,1
leisure, de stress,, relax,10, en,1
dwelling, talking in,, kitchen,10, en,1
dwelling, bad,, bath,10, nl,1
dwelling, physiological state,, sleep,10, en,1
dwelling, rest area,, bathroom,10, en,1
dwelling, trigger epileptic seizures,, sleep,10, en,1
mobility, rail car,, car,10, en,1
food, foster,, food,10, en,1
dwelling, get rest,, sleep,10, en,1
leisure, gift,, music,10, en,1
mobility, vervoermiddel,, schip,10, nl,1
dwelling, home for human,, house,10, en,1
leisure, change emotions,, music,10, en,1
leisure, organized aggression,, sport,10, en,1
food, dairy product,, milk,10, en,1
mobility, arrive at city,, train,10, en,1
mobility, fly upwards,, airplane,10, en,1
food, worry,, brood,10, en,1
food, fairgrounds,, food,10, en,1
leisure, competitive entertainment,, games,10, en,1
food, truck,, food,10, en,1
leisure, radio,, music,10, en,1
food, source of mineral calcium,, milk,10, en,1
dwelling, grow,, garden,10, en,1
mobility, seat passengers,, airplane,10, en,1
mobility, place occupied by humans,, ship,10, en,1
leisure, sometimes can mark good times between friends,, music,10, en,1
dwelling, live independently,, garden,10, en,1
food, groente,, groente,10, en,1
leisure, fun because occupy mind,, games,10, en,1
food, food,, food,10, en,1
leisure, een muzikant,, muziek,10, nl,1
food, eating,, fruit,10, en,1
mobility, gondola,, car,10, en,1
mobility," ""corner like its on rails""",, car,10, en,1
mobility, list to port,, ship,10, en,1
food, grain,, rice,10, en,1
leisure, reunions,, party,10, en,1
food, folding stuff,, bread,10, en,1
food, cellar,, potato,10, en,1
food, grocers,, potato,10, en,1
mobility, coach,, train,10, en,1
dwelling, yard,, garden,10, en,1
leisure, home,, home,10, en,1
mobility, fall,, plane,10, en,1
food, recently punched face,, potato,10, en,1
food, potato salad,, potato,10, en,1
food, butchers,, meat,10, en,1
dwelling, have garden party,, garden,10, en,1
leisure, vacation,, holiday,10, en,1
leisure, plane,, plane,10, en,1
dwelling, one or more stories tall,, house,10, en,1
mobility, vehicle for personal transportation,, car,10, en,1
mobility, motorcar,, auto,10, en,1
food, appel,, aardappel,10, nl,1
leisure, being on time,, watch,10, en,1
mobility, geometry term,, plane,10, en,1
leisure, set,, party,10, en,1
dwelling, huis,, huis,10, en,1
leisure, tell current time,, watch,10, en,1
leisure, music,, muziek,10, en,1
dwelling, what people live in,, house,10, en,1
food, opeten,, eten,10, nl,1
mobility, heavier than air flying machine,, airplane,10, en,1
mobility, near island,, ship,10, en,1
dwelling, theater,, house,10, en,1
mobility, pass other car,, car,10, en,1
food, spud gun,, potato,10, en,1
mobility, heavier than typewriter keyboard,, bus,10, en,1
food, nutrition,, bread,10, en,1
dwelling, community,, house,10, en,1
dwelling, abominable,, bad,10, en,1
mobility, come up drive,, car,10, en,1
dwelling, comfort,, house,10, en,1
mobility, cost twenty thousand dollars,, car,10, en,1
leisure, boisterousness,, fun,10, en,1
mobility, motor,, auto,10, en,1
dwelling, larger than breadbox,, garden,10, en,1
leisure, happen to,, event,10, en,1
food, food,, potato,10, en,1
mobility, gain speed,, car,10, en,1
food, own kitchen,, potato,10, en,1
mobility, omnibus,, bus,10, nl,1
dwelling, home plate,, home,10, en,1
dwelling, enclose,, house,10, en,1
food, refrigerator,, milk,10, en,1
mobility, getting to school,, car,10, en,1
mobility, live in,, bus,10, en,1
mobility, airplane,, vliegtuig,10, en,1
food, baiting traps,, meat,10, en,1
dwelling, dump,, house,10, en,1
leisure, combination of skill and chance,, games,10, en,1
leisure, bar,, drunk,10, en,1
leisure, break from normal life,, vacation,10, en,1
leisure, reizen,, travel,10, nl,1
food, timmerman,, eten,10, nl,1
food, zoogdier,, eten,10, nl,1
mobility, get around town,, bus,10, en,1
mobility, land on ground,, plane,10, en,1
food, clam chowder,, potato,10, en,1
dwelling, indie rock,, house,10, en,1
leisure, simple life,, music,10, en,1
food, plate,, food,10, en,1
food, allotment,, potato,10, en,1
leisure, use pieces to represent player,, games,10, en,1
dwelling, accommodate more than one family,, house,10, en,1
leisure, relax,, music,10, en,1
dwelling, going to toilet in,, bathroom,10, en,1
food, vrouwen,, melk,10, nl,1
mobility, seat capacity,, bus,10, en,1
mobility, car,, cab,10, en,1
dwelling, protection from weather,, house,10, en,1
dwelling, body requires,, sleep,10, en,1
food, meat,, meat,10, en,1
food, crust,, bread,10, en,1
food, drying to make stuffing,, bread,10, en,1
dwelling, door,, house,10, en,1
mobility, emergency brakes,, airplane,10, en,1
food, staple for meal,, bread,10, en,1
leisure, passing time,, music,10, en,1
food, pudding,, bread,10, en,1
food, root vegetable,, potato,10, en,1
leisure, game,, sport,10, en,1
mobility, heavier than air craft,, airplane,10, en,1
food, nutrients,, food,10, en,1
mobility, new mexico,, train,10, en,1
mobility, belong to,, car,10, en,1
dwelling, mansion,, residence,10, en,1
food, grocery market,, potato,10, en,1
leisure, experience different culture,, travel,10, en,1
dwelling, urgent,, bad,10, en,1
food, baked food,, bread,10, en,1
leisure, meet friends,, party,10, en,1
food, een bakker,, brood,10, nl,1
food, military base,, food,10, en,1
food, sustenance,, food,10, en,1
mobility, automatic transmission,, auto,10, en,1
leisure, pissed,, drunk,10, en,1
mobility, heavier than air,, airplane,10, en,1
dwelling, home,, house,10, en,1
mobility, another word for automobile,, car,10, en,1
dwelling, kitchen,, kitchen,10, nl,1
dwelling, hotel,, kitchen,10, en,1
food, high nutrious value,, fruit,10, en,1
leisure, enjoyment,, fun,10, en,1
mobility, passing slowly,, train,10, en,1
food, potato clock,, potato,10, en,1
food, cereal,, rice,10, en,1
mobility, go to work,, car,10, en,1
food, healthier than candy,, fruit,10, en,1
mobility, arrive early,, train,10, en,1
dwelling, live,, sleep,10, en,1
leisure, city,, party,10, en,1
mobility, heavier than horse,, car,10, en,1
food, pei,, potato,10, en,1
mobility, racing,, car,10, en,1
food, eating,, food,10, en,1
food, pantry,, food,10, en,1
leisure, alcoholic,, drunk,10, en,1
food, dinner,, meat,10, en,1
food, potato cellar,, potato,10, en,1
mobility, take across country,, bus,10, en,1
dwelling, washing hands,, bathroom,10, en,1
food, thousands of kinds of culinary dishes,, potato,10, en,1
dwelling, unsatisfactory,, bad,10, en,1
leisure, job requires,, travel,10, en,1
food, tree,, fruit,10, en,1
leisure, gita,, music,10, ms,1
dwelling, dwelling,, bathroom,10, en,1
leisure, revocation,, vacation,10, en,1
leisure, occupation,, sport,10, en,1
mobility, luchtvaartuig,, vliegtuig,10, nl,1
mobility, travel around town,, bus,10, en,1
leisure, journey,, travel,10, en,1
food, main course,, potato,10, en,1
leisure, cheers up,, music,10, en,1
leisure, tour,, visit,10, en,1
dwelling, wasting valuable time,, garden,10, en,1
leisure, celebrate birthday,, party,10, en,1
mobility, vehicle,, ship,10, en,1
leisure, circumstance,, event,10, en,1
dwelling, home,, residence,10, en,1
dwelling, exhausted,, sleep,10, en,1
dwelling, residence,, residence,10, en,1
food, sugar,, fruit,10, en,1
leisure, relaxation,, recreation,10, en,1
mobility, flying too low,, plane,10, en,1
food, breadmaker,, bread,10, en,1
leisure, blitzed,, drunk,10, en,1
food, vegetable section,, potato,10, en,1
leisure, surprise,, event,10, en,1
mobility, auto,, car,10, en,1
dwelling, normally,, bath,10, en,1
leisure, rhythym,, music,10, en,1
food, good source of vitamin c,, fruit,10, en,1
mobility, many systems,, car,10, en,1
leisure, of massage,, relax,10, en,1
leisure, peace,, relax,10, en,1
dwelling, neighborhood,, home,10, en,1
leisure, refreshment,, recreation,10, en,1
mobility, go fast,, car,10, en,1
mobility, getting there quicker,, bus,10, en,1
mobility, scrap heap,, car,10, en,1
dwelling, building,, bathroom,10, en,1
mobility, motor vehicle,, bus,10, en,1
food," ""friends wedding""",, rice,10, en,1
leisure, create emotion in human being,, music,10, en,1
food, spondulicks,, bread,10, en,1
food, not sex,, food,10, en,1
leisure," ""dont need to work""",, relax,10, en,1
leisure, always,, music,10, en,1
leisure, vacatie,, vakantie,10, nl,1
leisure, event,, party,10, en,1
dwelling, alternative rock,, house,10, en,1
mobility, pass bus,, car,10, en,1
leisure, weergeven,, spellen,10, nl,1
food, oven,, meat,10, en,1
dwelling, recreation,, sleep,10, en,1
food, plants,, fruit,10, en,1
food, plant part,, fruit,10, en,1
dwelling, refresh memory,, sleep,10, en,1
food, eats,, food,10, en,1
dwelling, dwelling,, residence,10, en,1
leisure, form of entertainment,, music,10, en,1
dwelling, family,, house,10, en,1
mobility, get home,, car,10, en,1
leisure, irritate,, music,10, en,1
food, eat,, meat,10, en,1
mobility, train,, trein,10, en,1
food, lots of vitamins,, fruit,10, en,1
dwelling, body needs rest,, sleep,10, en,1
food, natural sugar,, fruit,10, en,1
leisure, toonkunst,, muziek,10, nl,1
dwelling, thuis,, home,10, nl,1
food, stew,, potato,10, en,1
food, germany,, potato,10, en,1
food, knish,, potato,10, en,1
dwelling, regretful,, bad,10, en,1
leisure, charms to sooth savage breasti,, music,10, en,1
mobility, aim,, train,10, en,1
food, new hampshire,, potato,10, en,1
mobility, journey around horn,, ship,10, en,1
leisure, relax,, vacation,10, en,1
mobility, public transport,, bus,10, en,1
mobility, four wheels,, car,10, en,1
mobility, drive across street,, car,10, en,1
dwelling, baking pie,, kitchen,10, en,1
mobility, rush away,, car,10, en,1
leisure, diversion,, recreation,10, en,1
food, oregon,, potato,10, en,1
leisure, pass time,, games,10, en,1
leisure, vrije tijd,, vakantie,10, nl,1
mobility, fleet,, bus,10, en,1
leisure, vibe,, music,10, en,1
dwelling, where family lives,, home,10, en,1
leisure, activity,, fun,10, en,1
food, paring,, fruit,10, en,1
mobility, seat riders,, car,10, en,1
dwelling, sleep,, sleep,10, nl,1
leisure, measuring time,, watch,10, en,1
dwelling, sleepy,, sleep,10, en,1
food, store,, food,10, en,1
mobility, near airport,, plane,10, en,1
leisure, loosen,, relax,10, en,1
dwelling, food preparation area,, kitchen,10, en,1
dwelling, plot,, garden,10, en,1
dwelling, cost lot,, house,10, en,1
mobility, transport people,, airplane,10, en,1
food, liquid,, milk,10, en,1
leisure, college dorm room,, party,10, en,1
food, container,, fruit,10, en,1
food, feed animals,, food,10, en,1
food, another name for homosexual,, fruit,10, en,1
dwelling, city,, home,10, en,1
leisure, make person feel better,, music,10, en,1
food, iowa,, potato,10, en,1
leisure, devised structured activity,, sport,10, en,1
mobility, railroad car,, car,10, en,1
food, many nutrtients,, fruit,10, en,1
dwelling, stationary artifact,, garden,10, en,1
food, refridgerator,, fruit,10, en,1
mobility, real spce ship,, ship,10, en,1
mobility, plane,, airplane,10, en,1
food, refrigerator,, fruit,10, en,1
leisure, song,, music,10, en,1
mobility, break sound barrier,, plane,10, en,1
mobility, embark,, ship,10, en,1
mobility, teksi,, taxi,10, ms,1
dwelling," ""dark probably because its nighttime""",, house,10, en,1
food, provender,, food,10, en,1
mobility, garage,, bus,10, en,1
leisure, have done good job,, relax,10, en,1
mobility, vaartuig,, schip,10, nl,1
dwelling, windows,, house,10, en,1
mobility, drive to city,, bus,10, en,1
food, jar,, food,10, en,1
mobility, ship,, schip,10, en,1
dwelling, shelter,, house,10, en,1
mobility, schap,, ship,10, nl,1
mobility, hold cargo,, ship,10, en,1
dwelling, lead to dreams,, sleep,10, en,1
mobility, roll down runway,, airplane,10, en,1
food, store,, potato,10, en,1
food, mashed potatoes,, potato,10, en,1
food, allowing trees to reproduce,, fruit,10, en,1
mobility, travel to shops,, car,10, en,1
